"gene_id","master_id","skel_code","skel_elem","year_pub","pub_abbr","doi","link","date_metho","date_BP","date_err","date_full","age_at_death","group","locality","pol_ent","lat","long","Pulldown.Strategy","suffices","data_type","no_lib","snps_1240k","snps_ho","mol_sex","ROH_tot","ROH_tot2","Y_hap","Y_hap2","Y.hap3","mtDNA_cov","mtDNA_hap","mtDNA_match","damage","sex_ratio","angsd","hapconx","lib_type","libs","endo","assess","assess_warn","mtDNA_hap_simp","y_hap_simp"
"SZ15.SG","SZ15","SZ15","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.SG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","SG","Shotgun",NA,1149883,579662,"M","0","0","R-YP986","R1a1a1b1a3a1b3e5~",NA,"143.03","H1c1",NA,"0.1017",NA,"[0,0.004]","[0.004,0.006]","ds.half",NA,"0.35784","PASS",NA,"H1c","R1a"
"SZ1.SG","SZ1","SZ1","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",3850,635,"3000-800 BCE",NA,"Hungary_BA.SG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","SG","Shotgun",NA,1149848,579633,"M","4.8636","0","R-Y20746","R1a1a1b2a2a1",NA,"132.76","J1b",NA,"0.1111",NA,"[0,0.006]","[0.006,0.008]","ds.half",NA,"0.33614","PASS","hapConX=[0.006,0.008]","J1b","R1a"
"SZ2.SG","SZ2","SZ2","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.SG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","SG","Shotgun",NA,1148219,578914,"M","0","0","R-Z8","R1b1a1b1a1a1c2b",NA,"132.84","T1a1",NA,"0.1002",NA,NA,"[0.009,0.011]","ds.half",NA,"0.67174","PASS","hapConX=[0.009,0.011]","T1a","R1b"
"SZ36.SG","SZ36","SZ36","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard_o1.SG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","SG","Shotgun",NA,1147176,578698,"M","0","0","T-CTS2214","T1a1a1b2",NA,"145.64","U4c2a",NA,"0.0867",NA,NA,"[0.008,0.011]","ds.half",NA,"0.68139","PASS","hapConX=[0.008,0.011]","U4c","T1a"
"SZ3.SG","SZ3","SZ3","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.SG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","SG","Shotgun",NA,1149980,579643,"M","0","0","I-BY3605","I2a1b1a2b1a2b1~",NA,"143.47","H18",NA,"0.0872",NA,"[0,0]","[0.007,0.008]","ds.half",NA,"0.6764","PASS","hapConX=[0.007,0.008]","H18","I2a"
"SZ43.SG","SZ43","SZ43","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Direct (WARNING MISSING LAB CODE): IntCal20",1393,35,"438-605 calCE (1521±25 BP)",NA,"Hungary_Langobard_o1.SG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","SG","Shotgun",NA,1149969,579669,"M","0","0","I-Y3672","I2a1b1a1b1a1a~",NA,"140.37","H1e",NA,"0.1027",NA,"[0,0.008]","[0.006,0.007]","ds.half",NA,"0.65345","PASS","hapConX=[0.006,0.007]","H1e","I2a"
"SZ45.SG","SZ45","SZ45","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard_o2.SG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","SG","Shotgun",NA,1150009,579668,"M","0","0","I-FGC21810","I1a1b1a1a1~",NA,"144.5","J1c",NA,"0.1095",NA,"[0,0.003]","[0.006,0.008]","ds.half",NA,"0.43323","PASS","hapConX=[0.006,0.008]","J1c","I1a"
"SZ4.SG","SZ4","SZ4","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.SG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","SG","Shotgun",NA,1149913,579633,"M","0","0","R-Z372","R1b1a1b1a1a",NA,"136.69","H1c9",NA,"0.0828",NA,"[0,0.015]","[0.007,0.008]","ds.half",NA,NA,"PASS","hapConX=[0.007,0.008]","H1c","R1b"
"JK2134.AG","JK2134","1605",NA,2017,"ScheunemannNatureCommunications2017","doi:10.1038/ncomms15694","ENA:ERP017224","Direct: IntCal20",2609,72,"787-546 calBCE (2522±24 BP, MAMS-23047)",NA,"Egypt_ThirdIntermediatePeriod.AG","Abusir-el Meleq (Middle Egypt, Beni Suef Governorate)","Egypt",29.9,31.2,"Native Pulldown on 3.2M snpset","AG","1240k",NA,135011,66558,"M","n/a (<300K SNPs)","n/a (<300K SNPs)","J-Z2331","J1a2a1a2d2b~",NA,NA,"J1d",NA,NA,NA,"[0,0.118]","[0.062,0.129]","half",NA,NA,"CRITICAL","hapConX=[0.062,0.129]","J1d","J1a"
"JK2888.AG","JK2888","1573","tooth",2017,"ScheunemannNatureCommunications2017","doi:10.1038/ncomms15694","ENA:ERP017224","Direct: IntCal20",1997,43,"151 calBCE - 23 calCE (2050±24 BP, MAMS-23575)",NA,"Egypt_Ptolemaic_contam.AG","Abusir-el Meleq (Middle Egypt, Beni Suef Governorate)","Egypt",29.9,31.2,"Native Pulldown on 3.2M snpset","AG","1240k",NA,207380,102401,"M","n/a (<300K SNPs)","n/a (<300K SNPs)","E-V22","E1b1b1a1b2",NA,NA,"U6a2",NA,NA,NA,"[0.022,0.124]","[0.049,0.096]","half",NA,NA,"CRITICAL","ANGSD=[0.022,0.124], hapConX=[0.049,0.096]","U6a","E1b"
"JK2911.AG","JK2911","1609",NA,2017,"ScheunemannNatureCommunications2017","doi:10.1038/ncomms15694","ENA:ERP017224","Direct: IntCal20",2602,70,"779-544 calBCE (2513±24 BP, MAMS-23617)",NA,"Egypt_ThirdIntermediatePeriod.AG","Abusir-el Meleq (Middle Egypt, Beni Suef Governorate)","Egypt",29.9,31.2,"Native Pulldown on 3.2M snpset","AG","1240k",NA,520709,257335,"M","0","0","J-M205","J2b1",NA,NA,"M1a1",NA,NA,NA,"[0,0.054]","[0.002,0.008]","half",NA,NA,"PASS",NA,"M1a","J2b"
